0.00; 23.57; 576.00
0.25; 23.60; 577.00
0.51; 23.60; 576.00
0.76; 23.57; 578.00
1.01; 23.60; 577.00
1.27; 23.60; 576.00
1.52; 23.60; 577.00
1.78; 23.60; 577.00
2.03; 23.60; 577.00
2.28; 23.60; 577.00
2.54; 23.60; 577.00
2.79; 23.60; 578.00
3.05; 23.60; 577.00
3.30; 23.60; 576.00
3.55; 23.60; 577.00
3.81; 23.60; 578.00
4.06; 23.60; 577.00
4.32; 23.60; 577.00
4.57; 23.60; 577.00
4.82; 23.57; 578.00
5.08; 23.57; 577.00
5.33; 23.60; 576.00
5.59; 23.64; 577.00
5.84; 23.60; 578.00
6.09; 23.60; 576.00
6.35; 23.60; 577.00
6.60; 23.60; 577.00
6.86; 23.64; 577.00
7.11; 23.60; 578.00
7.37; 23.60; 576.00
7.62; 23.60; 578.00
7.88; 23.60; 578.00
8.13; 23.60; 577.00
8.38; 23.60; 577.00
8.64; 23.60; 578.00
8.89; 23.60; 577.00
9.14; 23.60; 578.00
9.40; 23.60; 577.00
9.65; 23.60; 578.00
9.91; 23.60; 578.00
10.16; 23.64; 577.00
10.41; 23.60; 578.00
10.67; 23.60; 578.00
10.92; 23.64; 578.00
11.18; 23.64; 578.00
11.43; 23.64; 577.00
11.68; 23.60; 578.00
11.94; 23.64; 578.00
12.19; 23.64; 577.00
12.45; 23.64; 578.00
12.70; 23.60; 577.00
12.95; 23.64; 579.00
13.21; 23.60; 577.00
13.46; 23.64; 577.00
13.72; 23.60; 578.00
13.97; 23.64; 578.00
14.22; 23.64; 577.00
14.48; 23.60; 578.00
14.73; 23.64; 578.00
14.99; 23.60; 579.00
15.24; 23.60; 578.00
15.49; 23.64; 577.00
15.75; 23.64; 578.00
16.00; 23.64; 579.00
16.26; 23.64; 577.00
16.51; 23.60; 578.00
16.76; 23.64; 578.00
17.02; 23.64; 578.00
17.27; 23.64; 578.00
17.52; 23.60; 577.00
17.78; 23.64; 579.00
18.03; 23.64; 578.00
18.29; 23.64; 577.00
18.54; 23.64; 578.00
18.79; 23.67; 579.00
19.05; 23.64; 578.00
19.30; 23.64; 578.00
19.56; 23.64; 578.00
19.81; 23.64; 579.00
20.06; 23.64; 578.00
20.32; 23.64; 577.00
20.57; 23.64; 579.00
20.83; 23.64; 578.00
21.08; 23.67; 577.00
21.34; 23.64; 579.00
21.59; 23.64; 579.00
21.85; 23.64; 578.00
22.10; 23.64; 578.00
22.35; 23.64; 578.00
22.61; 23.64; 579.00
22.86; 23.67; 578.00
23.12; 23.64; 577.00
23.37; 23.64; 579.00
23.62; 23.64; 579.00
23.88; 23.64; 578.00
24.13; 23.64; 578.00
24.38; 23.64; 579.00
24.64; 23.64; 579.00
24.89; 23.64; 578.00
25.15; 23.64; 578.00
25.40; 23.64; 579.00
25.65; 23.64; 578.00
25.91; 23.67; 578.00
26.16; 23.64; 579.00
26.42; 23.67; 579.00
26.67; 23.64; 578.00
26.92; 23.67; 578.00
27.18; 23.64; 578.00
27.43; 23.64; 579.00
27.69; 23.64; 579.00
27.94; 23.64; 578.00
28.19; 23.64; 580.00
28.45; 23.64; 579.00
28.70; 23.64; 578.00
28.96; 23.67; 579.00
29.21; 23.67; 579.00
29.46; 23.64; 578.00
29.72; 23.64; 579.00
29.97; 23.67; 579.00
30.23; 23.67; 579.00
30.48; 23.64; 579.00
30.73; 23.64; 578.00
30.99; 23.67; 580.00
31.24; 23.64; 579.00
31.50; 23.64; 578.00
31.75; 23.64; 579.00
32.00; 23.64; 580.00
32.26; 23.64; 578.00
32.51; 23.64; 579.00
32.76; 23.67; 579.00
33.02; 23.64; 579.00
33.27; 23.67; 579.00
33.53; 23.67; 578.00
33.78; 23.67; 580.00
34.03; 23.67; 580.00
34.29; 23.67; 579.00
34.54; 23.67; 579.00
34.80; 23.67; 578.00
35.05; 23.67; 580.00
35.31; 23.67; 579.00
35.56; 23.67; 578.00
35.82; 23.67; 579.00
36.07; 23.67; 579.00
36.32; 23.64; 579.00
36.58; 23.67; 579.00
36.83; 23.67; 578.00
37.09; 23.67; 580.00
37.34; 23.67; 579.00
