#t, t_sol, st_sol, v_sol, sv_sol, ph_sol, sph_sol, stabilite
291.37;19.76;0.01;354.27;0.45;5.21;0.01;0.01
294.17;19.78;0.00;354.18;0.39;5.21;0.01;0.01
296.96;19.79;0.02;354.55;0.50;5.22;0.01;0.01
299.76;19.81;0.02;354.18;0.39;5.21;0.01;0.01
302.56;19.81;0.02;354.36;0.48;5.21;0.01;0.01
305.35;19.82;0.02;354.45;0.50;5.21;0.01;0.01
308.15;19.83;0.01;354.27;0.45;5.21;0.01;0.01
310.95;19.82;0.01;354.36;0.48;5.21;0.01;0.01
313.74;19.83;0.01;354.09;0.29;5.21;0.01;0.01
316.54;19.84;0.01;354.27;0.45;5.21;0.01;0.01
319.33;19.85;0.02;354.27;0.45;5.21;0.01;0.01
322.13;19.85;0.01;354.09;0.29;5.21;0.01;0.01
324.92;19.86;0.02;354.00;0.43;5.20;0.01;0.00
327.72;19.87;0.02;354.09;0.29;5.21;0.01;0.00
348.82;19.98;0.02;354.00;0.00;5.20;0.00;0.00
351.61;20.00;0.01;354.00;0.43;5.20;0.01;0.00
354.41;20.01;0.01;354.18;0.39;5.21;0.01;0.00
357.21;20.02;0.02;354.09;0.29;5.21;0.01;0.00
360.00;20.04;0.02;354.27;0.45;5.21;0.01;0.00
362.80;20.07;0.01;354.18;0.39;5.21;0.01;0.00
365.60;20.07;0.01;354.18;0.39;5.21;0.01;0.00
368.39;20.09;0.01;354.18;0.39;5.21;0.01;0.00
371.19;20.11;0.01;354.27;0.45;5.21;0.01;0.00
373.98;20.12;0.02;354.45;0.50;5.21;0.01;0.00
376.78;20.15;0.02;354.36;0.48;5.21;0.01;0.00
379.57;20.17;0.01;354.36;0.48;5.21;0.01;0.00
382.37;20.18;0.01;354.64;0.48;5.22;0.01;0.00
385.17;20.20;0.02;354.27;0.45;5.21;0.01;0.00
387.96;20.21;0.01;354.64;0.48;5.22;0.01;0.00
390.76;20.23;0.02;354.45;0.50;5.21;0.01;0.00
393.55;20.26;0.01;355.00;0.00;5.23;0.00;0.01
396.35;20.26;0.01;354.82;0.39;5.22;0.01;0.01
399.15;20.27;0.01;354.55;0.50;5.22;0.01;0.01
401.94;20.28;0.01;354.82;0.39;5.22;0.01;0.01
407.92;20.30;0.02;354.55;0.50;5.22;0.01;0.01
410.58;20.32;0.02;354.55;0.50;5.22;0.01;0.01
413.38;20.32;0.02;354.45;0.50;5.21;0.01;0.01
416.18;20.34;0.01;354.64;0.48;5.22;0.01;0.00
418.97;20.35;0.01;354.64;0.48;5.22;0.01;0.00
421.77;20.35;0.01;354.64;0.48;5.22;0.01;0.00
424.57;20.36;0.01;354.55;0.50;5.22;0.01;0.00
427.36;20.37;0.01;354.55;0.50;5.22;0.01;0.00
430.16;20.38;0.01;354.55;0.50;5.22;0.01;0.00
432.95;20.39;0.01;354.55;0.50;5.22;0.01;0.00
435.75;20.39;0.01;354.82;0.39;5.22;0.01;0.00
438.55;20.40;0.02;354.82;0.39;5.22;0.01;0.00
441.34;20.42;0.02;354.73;0.45;5.22;0.01;0.00
444.14;20.43;0.01;354.91;0.29;5.22;0.01;0.00
446.93;20.44;0.01;354.64;0.48;5.22;0.01;0.00
449.73;20.45;0.01;354.82;0.39;5.22;0.01;0.00
452.52;20.46;0.02;354.91;0.51;5.22;0.01;0.00
455.32;20.47;0.01;354.91;0.51;5.22;0.01;0.00
458.12;20.47;0.01;355.00;0.43;5.23;0.01;0.00
460.91;20.48;0.01;355.00;0.00;5.23;0.00;0.00
465.92;20.50;0.02;355.09;0.29;5.23;0.01;0.00
468.54;20.51;0.02;355.00;0.00;5.23;0.00;0.00
471.34;20.52;0.02;355.00;0.00;5.23;0.00;0.00
474.13;20.54;0.01;354.91;0.29;5.22;0.01;0.00
476.93;20.54;0.01;354.91;0.29;5.22;0.01;0.00
479.72;20.55;0.01;354.91;0.29;5.22;0.01;0.00
482.52;20.56;0.00;354.91;0.29;5.22;0.01;0.00
485.32;20.56;0.00;355.00;0.00;5.23;0.00;0.00
488.11;20.57;0.02;355.00;0.43;5.23;0.01;0.00
490.91;20.58;0.02;354.91;0.29;5.22;0.01;0.00
493.70;20.59;0.02;354.64;0.48;5.22;0.01;0.00
496.50;20.60;0.02;354.55;0.50;5.22;0.01;0.00
499.30;20.60;0.01;354.36;0.48;5.21;0.01;0.00
502.09;20.61;0.01;354.36;0.48;5.21;0.01;0.00
504.89;20.62;0.01;354.36;0.48;5.21;0.01;0.00
507.69;20.63;0.02;354.09;0.29;5.21;0.01;0.01
510.48;20.67;0.02;354.18;0.39;5.21;0.01;0.01
513.28;20.73;0.02;354.18;0.39;5.21;0.01;0.01
516.07;20.79;0.03;354.36;0.48;5.21;0.01;0.01
518.87;20.86;0.03;354.27;0.45;5.21;0.01;0.01
524.69;20.99;0.01;354.00;0.00;5.20;0.00;0.01
527.26;21.04;0.02;354.09;0.29;5.21;0.01;0.01
530.05;21.10;0.02;354.09;0.51;5.21;0.01;0.01
532.85;21.17;0.02;354.00;0.00;5.20;0.00;0.01
535.64;21.23;0.03;353.82;0.39;5.20;0.01;0.01
538.44;21.30;0.03;354.00;0.00;5.20;0.00;0.01
541.24;21.36;0.01;354.00;0.00;5.20;0.00;0.01
544.03;21.40;0.02;354.09;0.29;5.21;0.01;0.01
546.83;21.45;0.02;354.09;0.29;5.21;0.01;0.01
549.63;21.50;0.02;353.91;0.51;5.20;0.01;0.00
552.42;21.54;0.02;353.73;0.45;5.20;0.01;0.00
555.22;21.59;0.03;354.00;0.43;5.20;0.01;0.00
558.02;21.62;0.01;353.82;0.39;5.20;0.01;0.00
560.81;21.67;0.03;353.82;0.39;5.20;0.01;0.00
563.61;21.70;0.02;353.82;0.72;5.20;0.02;0.00
566.40;21.73;0.02;353.73;1.14;5.20;0.02;0.00
569.20;21.78;0.02;352.27;1.35;5.17;0.03;0.01
571.99;21.78;0.03;352.64;0.48;5.18;0.01;0.01
574.79;21.70;0.02;352.73;0.45;5.18;0.01;0.01
577.59;21.62;0.01;352.82;0.39;5.18;0.01;0.01
593.32;21.48;0.02;353.09;0.29;5.19;0.01;0.01
595.89;21.47;0.02;352.82;0.39;5.18;0.01;0.01
598.69;21.50;0.02;352.73;0.45;5.18;0.01;0.01
601.48;21.51;0.00;352.91;0.29;5.18;0.01;0.01
604.28;21.52;0.01;352.64;0.48;5.18;0.01;0.01
607.07;21.53;0.01;352.73;0.45;5.18;0.01;0.01
609.87;21.56;0.02;352.55;0.50;5.17;0.01;0.01
612.67;21.57;0.02;352.64;0.48;5.18;0.01;0.01
615.46;21.59;0.01;352.45;0.50;5.17;0.01;0.01
618.26;21.59;0.01;352.55;0.50;5.17;0.01;0.01
621.05;21.60;0.01;352.45;0.50;5.17;0.01;0.01
623.85;21.60;0.01;352.55;0.50;5.17;0.01;0.01
626.64;21.60;0.01;352.55;0.50;5.17;0.01;0.01
629.44;21.61;0.00;352.27;0.45;5.17;0.01;0.01
632.24;21.62;0.01;352.45;0.50;5.17;0.01;0.01
635.03;21.63;0.01;352.45;0.50;5.17;0.01;0.00
637.83;21.62;0.01;352.82;0.39;5.18;0.01;0.00
640.63;21.63;0.01;352.82;0.39;5.18;0.01;0.00
643.42;21.63;0.01;352.73;0.45;5.18;0.01;0.00
646.22;21.63;0.01;352.73;0.45;5.18;0.01;0.00
681.78;21.67;0.02;347.91;1.62;5.08;0.03;0.02
684.34;21.59;0.01;346.73;0.62;5.05;0.01;0.03
687.14;21.53;0.02;347.45;0.66;5.07;0.01;0.04
689.94;21.48;0.02;347.09;0.29;5.06;0.01;0.04
692.73;21.46;0.01;346.91;0.29;5.05;0.01;0.05
695.53;21.44;0.01;347.00;0.43;5.06;0.01;0.05
698.33;21.43;0.01;346.91;0.29;5.05;0.01;0.05
701.12;21.45;0.01;346.82;0.39;5.05;0.01;0.06
703.92;21.45;0.01;346.82;0.39;5.05;0.01;0.06
706.72;21.46;0.01;346.45;0.50;5.04;0.01;0.06
709.51;21.46;0.01;346.18;0.39;5.04;0.01;0.06
712.31;21.47;0.02;346.00;0.00;5.04;0.00;0.06
715.10;21.48;0.02;345.91;0.29;5.03;0.01;0.06
717.90;21.50;0.02;345.55;0.50;5.03;0.01;0.06
720.69;21.51;0.00;345.64;0.48;5.03;0.01;0.06
723.49;21.50;0.02;345.45;0.50;5.02;0.01;0.05
726.29;21.51;0.02;345.18;0.39;5.02;0.01;0.05
729.08;21.51;0.01;345.09;0.29;5.02;0.01;0.04
731.88;21.52;0.01;345.09;0.29;5.02;0.01;0.03
734.67;21.52;0.01;344.91;0.29;5.01;0.01;0.02
